index,Position,Season,Tm,G,W,L,Win_pct,MOV,SOS,SRS,ORtg,DRtg,Pace,TS_pct,eFG_pct,TOV_pct,ORB_pct,FT_FGA,Opp_eFG_pct,Opp_TOV_pct,opp_DRB%,Opp_FT_FGA
0,0,2021-22,COS,32,26,6,0.8125,9.81,-0.95,8.86,106.9,93.7,74,0.543,0.497,15.9,31.2,0.22,0.459,16.1,82.1,0.201
1,1,2021-22,LVA,32,24,8,0.75,9.06,-0.62,8.44,109.1,98,80.8,0.559,0.508,12.6,21.3,0.255,0.464,12.5,80,0.165
2,0,2021-22,SES,32,21,11,0.6563,4.44,-0.63,3.8,106.3,100.7,78.2,0.556,0.512,13.9,20.9,0.206,0.483,14.4,78.6,0.18
3,0,2021-22,MLY,32,22,10,0.6875,4,-0.37,3.63,104.2,99.1,78.7,0.553,0.508,15.8,22.3,0.218,0.476,14.6,79.7,0.194
4,0,2021-22,PHM,32,19,13,0.5938,2.56,-0.12,2.45,106.5,103.2,76.4,0.553,0.507,14.7,23.8,0.235,0.466,11.3,75.1,0.167
5,0,2021-22,CSK,32,16,16,0.5,1.31,-0.22,1.1,102.9,101.3,79.6,0.538,0.493,15.1,23.8,0.205,0.48,15.9,73.9,0.212
6,0,2021-22,DAW,32,14,18,0.4375,-0.53,0.3,-0.23,104.3,105,77.2,0.521,0.477,14.1,27.8,0.193,0.505,14.1,77.6,0.206
7,0,2021-22,WAM,32,12,20,0.375,-3.84,0.26,-3.58,101.5,106.4,78.3,0.519,0.475,13.7,21.9,0.203,0.52,15.3,76.4,0.208
8,0,2021-22,LAS,32,12,20,0.375,-4.34,0.55,-3.79,93.7,99.3,77.1,0.501,0.462,15.4,17.4,0.181,0.476,19.2,71.4,0.267
9,0,2021-22,ATD,32,8,24,0.25,-5.63,0.24,-5.38,99.3,106.4,78.6,0.489,0.459,12.1,24.6,0.154,0.52,16.8,73.7,0.234
10,0,2021-22,NYL,32,12,20,0.375,-7.03,0.71,-6.32,97,105.7,80.6,0.541,0.504,18.2,18.4,0.181,0.488,13.2,75.2,0.203
11,0,2021-22,INF,32,6,26,0.1875,-9.81,0.85,-8.97,97.4,110.1,77.3,0.498,0.453,15.4,27.4,0.199,0.517,13.6,75.6,0.222
